City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,suntar,62.1444,117.6319,-25.24,96,100,2.01,RU,1675047889
84,skiathos,39.1623,23.4909,6.09,86,100,3.55,GR,1675047791
85,verkhnevilyuysk,63.4453,120.3167,-31.9,98,98,1.53,RU,1675047890
86,tuscaloosa,33.2098,-87.5692,12.8,92,100,2.42,US,1675047607
87,cape town,-33.9258,18.4232,19.39,62,71,6.26,ZA,1675047891
88,bethel,41.3712,-73.414,7.74,68,0,2.57,US,1675047891
89,bredasdorp,-34.5322,20.0403,18.31,69,96,7.53,ZA,1675047892
90,bluff,-46.6,168.3333,16.34,85,100,3.87,NZ,1675047893
91,dingle,10.9995,122.6711,24.04,96,100,4.12,PH,1675047893
92,hervey bay,-25.2986,152.8535,26.27,65,30,4.66,AU,1675047894
93,freetown,8.484,-13.2299,24.36,86,54,2.81,SL,1675047894
94,karabulak,43.3036,44.8964,-3.45,88,100,1.01,RU,1675047895
95,port elizabeth,-33.918,25.5701,17.95,77,26,0.89,ZA,1675047895
96,sorland,67.667,12.6934,2.92,62,100,12.05,NO,1675047895
97,mahebourg,-20.4081,57.7,26.25,81,100,2.27,MU,1675047896
98,holland,42.7875,-86.1089,-2.88,80,100,1.54,US,1675047897
99,avarua,-21.2078,-159.775,22.03,100,100,6.69,CK,1675047897
100,rach gia,10.0167,105.0833,23.42,59,47,6.58,VN,1675047898
101,south venice,27.0531,-82.4243,21.1,96,0,3.58,US,1675047898
102,ongandjera,-17.8833,15.0667,21.74,68,90,3.93,NA,1675047898
103,mecca,21.4267,39.8261,22.31,66,2,0.17,SA,1675047672
104,katobu,-4.9408,122.5276,30.1,62,99,2.95,ID,1675047899
105,celestun,20.8667,-90.4,25.27,68,0,3.73,MX,1675047900
106,mehamn,71.0357,27.8492,1.95,80,75,4.12,NO,1675047794
107,saint-paul,-21.0096,55.2707,26.06,82,100,3.07,RE,1675047738
108,havoysund,70.9963,24.6622,-0.87,96,100,3.64,NO,1675047900
109,thompson,55.7435,-97.8558,-31.93,100,82,2.15,CA,1675047640
110,azangaro,-14.9167,-70.2167,7.2,78,100,0.61,PE,1675047904
111,gabaldon,15.4522,121.3387,26.63,62,21,2.76,PH,1675047915
112,kudahuvadhoo,2.6708,72.8944,26.64,74,63,1.34,MV,1675047917
113,lompoc,34.6391,-120.4579,9.32,92,0,1.54,US,1675047710
114,iqaluit,63.7506,-68.5145,-31.36,97,100,1.04,CA,1675047920
115,damietta,31.4165,31.8133,14.49,70,0,3.88,EG,1675047921
116,meulaboh,4.1363,96.1285,27.87,75,35,1.24,ID,1675047921
117,luang prabang,19.8856,102.1347,20.42,40,2,1.43,LA,1675047922
118,constitucion,-35.3333,-72.4167,14.77,94,69,6.1,CL,1675047924
119,grand bend,43.3168,-81.7498,-0.63,85,98,0.45,CA,1675047663
120,menongue,-14.6585,17.691,16.57,95,99,1.82,AO,1675047927
121,cochrane,51.1834,-114.4687,-11.39,66,100,4.02,CA,1675047929
122,mar del plata,-38.0023,-57.5575,21.72,78,0,7.15,AR,1675047475
123,oyama,36.3,139.8,7.55,35,0,2.53,JP,1675047829
124,caravelas,-17.7125,-39.2481,23.76,87,2,1.93,BR,1675047934
125,makakilo city,21.3469,-158.0858,21.18,84,75,4.63,US,1675047939
126,ereymentau,51.6199,73.1033,-20.01,92,8,3.23,KZ,1675047942
127,vasterhaninge,59.1167,18.1,5.58,87,100,9.3,SE,1675047942
128,broome,42.2506,-75.833,6.03,80,100,4.12,US,1675047943
129,nueva loja,0.0847,-76.8828,21.91,75,57,1.22,EC,1675047883
130,asuncion,-25.3007,-57.6359,25.69,83,75,0.0,PY,1675047944
131,jamame,0.0722,42.7506,24.01,79,100,5.04,SO,1675047944
132,oussouye,12.485,-16.5469,19.59,41,38,3.58,SN,1675047945
133,victor harbor,-35.5667,138.6167,24.82,63,64,0.45,AU,1675047946
134,jamestown,42.097,-79.2353,-0.55,100,100,5.66,US,1675047833
135,sao miguel do araguaia,-13.275,-50.1628,21.97,89,96,0.98,BR,1675047946
136,tiksi,71.6872,128.8694,-37.73,98,76,2.24,RU,1675047947
137,lorengau,-2.0226,147.2712,29.04,72,26,2.04,PG,1675047947
138,bubaque,11.2833,-15.8333,24.71,45,79,7.04,GW,1675047948
139,new norfolk,-42.7826,147.0587,24.72,35,0,0.89,AU,1675047948
140,beringovskiy,63.05,179.3167,-1.79,98,100,5.42,RU,1675047949
141,hermanus,-34.4187,19.2345,18.22,73,90,8.99,ZA,1675047950
142,umm lajj,25.0213,37.2685,22.9,62,7,3.09,SA,1675047950
